"","er","lambda"
"result.1",22.5,0.391241481723997
"result.2",15,0
"result.3",22.5,1.70574133851105
"result.4",7.5,1.65065547307125
"result.5",17.5,1.58619644483052
"result.6",20,0.953814103468962
"result.7",17.5,1.07716304390917
"result.8",2.5,1.25316325351668
"result.9",22.5,0.677569440981249
"result.10",15,1.37248704571834
"result.11",10,0
"result.12",17.5,1.51076590790576
"result.13",17.5,0.757924944559838
"result.14",10,1.07935683553755
"result.15",7.5,1.53712249307276
"result.16",20,1.48768206918298
"result.17",7.5,0.319455691382934
"result.18",17.5,0.33540680611127
"result.19",5,1.82733502736406
"result.20",15,2.12519659050922
"result.21",17.5,1.34612534102344
"result.22",15,1.07206010789946
"result.23",27.5,0.389250630025631
"result.24",10,0
"result.25",15,0
"result.26",15,0.174006900769311
"result.27",15,2.06862721038725
"result.28",15,2.11235267038079
"result.29",10,1.04834634731807
"result.30",20,0.533596421447985
"result.31",20,0
"result.32",22.5,1.32037900709945
"result.33",22.5,1.28538789609396
"result.34",20,2.14333194666894
"result.35",17.5,0.162142867526236
"result.36",22.5,0.354514529063191
"result.37",15,0.350478915949574
"result.38",25,0.768573572687492
"result.39",7.5,0.993815642645847
"result.40",20,1.04861023107837
"result.41",17.5,1.79655185727545
"result.42",12.5,1.77591094146229
"result.43",20,2.0313718400737
"result.44",12.5,1.46786968150765
"result.45",32.5,1.38092151907939
"result.46",12.5,2.0891490333182
"result.47",22.5,0.904664411726661
"result.48",25,0.46139679347577
"result.49",10,0.742414055938906
"result.50",32.5,0.545197649938604
"result.51",15,2.14587720510413
"result.52",12.5,0.897424092729224
"result.53",15,0.996246003275311
"result.54",5,0.812759363110509
"result.55",20,0.510319404196949
"result.56",17.5,1.36070760350842
"result.57",30,0.224931844010036
"result.58",15,1.67152796452854
"result.59",17.5,0.728019524467534
"result.60",12.5,0.979975754703446
"result.61",35,1.15234617506845
"result.62",12.5,0
"result.63",22.5,0
"result.64",22.5,1.50193276671748
"result.65",20,1.17889385237511
"result.66",37.5,1.38487301321636
"result.67",15,0.654988875664316
"result.68",22.5,0.997793683400307
"result.69",22.5,2.21329728571689
"result.70",20,1.09788611061366
"result.71",20,2.11783334474893
"result.72",12.5,1.30859136885348
"result.73",25,2.06125037058326
"result.74",7.5,0.25987989901757
"result.75",17.5,2.00165265829371
"result.76",7.5,1.86110918214023
"result.77",17.5,1.83979866741985
"result.78",20,1.18417434582119
"result.79",25,1.19499234267621
"result.80",20,0.373352245459537
"result.81",0,0.225754787867907
"result.82",17.5,1.09785704245294
"result.83",17.5,0.81004096411949
"result.84",15,0.963730576410694
"result.85",17.5,1.6930576361782
"result.86",22.5,0.491080168308319
"result.87",25,0.7312744372548
"result.88",25,0.198292452315933
"result.89",17.5,0.842944345624752
"result.90",10,1.32494036656088
"result.91",27.5,0.76330983909718
"result.92",15,1.79205521420116
"result.93",22.5,0
"result.94",10,0
"result.95",17.5,1.07327271866653
"result.96",27.5,1.2024604365862
"result.97",27.5,0
"result.98",15,0.313721730015402
"result.99",17.5,1.31623817195039
"result.100",22.5,0
